"File","Experiment","Condition","Subset"
"QE37659GM.raw","BIO55","A1","y"
"QE37865GM.raw","BIO64","A10","y"
"QE37695GM.raw","BIO65","A11","y"
"QE37617GM.raw","BIO66","A12","y"
"QE37623GM.raw","BIO67","A13","y"
"QE37632GM.raw","BIO68","A14","y"
"QE37689GM.raw","BIO69","A15","y"
"QE37796GM.raw","BIO70","A16","x"
"QE37922GM.raw","BIO71","A17","x"
"QE37644GM.raw","BIO73","A19","y"
"QE37650GM.raw","BIO56","A2","y"
"QE37772GM.raw","BIO74","A20","y"
"QE37817GM.raw","BIO75","A21","x"
"QE37716GM.raw","BIO76","A22","y"
"QE37775GM.raw","BIO77","A23","x"
"QE37647GM.raw","BIO79","A25","y"
"QE37719GM.raw","BIO80","A26","y"
"QE37874GM.raw","BIO81","A27","x"
"QE37862GM.raw","BIO82","A28","y"
"QE37728GM.raw","BIO83","A29","y"
"QE37802GM.raw","BIO57","A3","y"
"QE37955GM.raw","BIO85","A31","y"
"QE37707GM.raw","BIO86","A32","y"
"QE37740GM.raw","BIO87","A33","x"
"QE37731GM.raw","BIO88","A34","y"
"QE37656GM.raw","BIO89","A35","x"
"QE37853GM.raw","BIO90","A36","y"
"QE37755GM.raw","BIO91","A37","y"
"QE37970GM.raw","BIO92","A38","y"
"QE37722GM.raw","BIO93","A39","y"
"QE37964GM.raw","BIO58","A4","x"
"QE37641GM.raw","BIO94","A40","y"
"QE37683GM.raw","BIO95","A41","x"
"QE37737GM.raw","BIO96","A42","y"
"QE37886GM.raw","BIO98","A44","y"
"QE37919GM.raw","BIO99","A45","y"
"QE37704GM.raw","BIO100","A46","y"
"QE37805GM.raw","BIO101","A47","x"
"QE37814GM.raw","BIO102","A48","y"
"QE37766GM.raw","BIO103","A49","x"
"QE37868GM.raw","BIO59","A5","y"
"QE37701GM.raw","BIO104","A50","x"
"QE37895GM.raw","BIO105","A51","y"
"QE37778GM.raw","BIO106","A52","y"
"QE37749GM.raw","BIO107","A53","x"
"QE37991GM.raw","BIO108","A54","y"
"QE37752GM.raw","BIO109","A55","y"
"QE37829GM.raw","BIO60","A6","x"
"QE37790GM.raw","BIO61","A7","x"
"QE37916GM.raw","BIO63","A9","y"
"QE37680GM.raw","BIO42","B101","x"
"QE37743GM.raw","BIO47","B103","x"
"QE37761GM.raw","BIO51","B105","x"
"QE37725GM.raw","BIO41","B114","x"
"QE37925GM.raw","BIO52","B123","x"
"QE37674GM.raw","BIO45","B148","x"
"QE37988GM.raw","BIO43","B149","x"
"QE37943GM.raw","BIO44","B156","x"
"QE37940GM.raw","BIO53","B159","x"
"QE37931GM.raw","BIO40","B202","x"
"QE37823GM.raw","BIO50","B36","x"
"QE37910GM.raw","BIO46","B48","x"
"QE37949GM.raw","BIO48","B96","x"
"QE37665GM.raw","BIO1","B1","y"
"QE37844GM.raw","BIO10","B10","y"
"QE37668GM.raw","BIO11","B11","y"
"QE37937GM.raw","BIO12","B12","x"
"QE37847GM.raw","BIO13","B13","y"
"QE37787GM.raw","BIO14","B14","x"
"QE37781GM.raw","BIO15","B15","y"
"QE37961GM.raw","BIO17","B17","y"
"QE37898GM.raw","BIO18","B18","y"
"QE37946GM.raw","BIO19","B19","x"
"QE37934GM.raw","BIO2","B2","x"
"QE37635GM.raw","BIO20","B20","y"
"QE37973GM.raw","BIO22","B22","x"
"QE37982GM.raw","BIO23","B23","y"
"QE37985GM.raw","BIO24","B24","y"
"QE37850GM.raw","BIO26","B26","x"
"QE37671GM.raw","BIO27","B27","x"
"QE37841GM.raw","BIO28","B28","y"
"QE37838GM.raw","BIO29","B29","x"
"QE37799GM.raw","BIO3","B3","x"
"QE37871GM.raw","BIO30","B30","y"
"QE37859GM.raw","BIO31","B31","y"
"QE37811GM.raw","BIO32","B32","x"
"QE37967GM.raw","BIO33","B33","x"
"QE37698GM.raw","BIO34","B34","y"
"QE37653GM.raw","BIO35","B35","y"
"QE37889GM.raw","BIO36","B36","y"
"QE37907GM.raw","BIO37","B37","y"
"QE37826GM.raw","BIO38","B38","y"
"QE37892GM.raw","BIO39","B39","y"
"QE37913GM.raw","BIO4","B4","x"
"QE37835GM.raw","BIO5","B5","y"
"QE37769GM.raw","BIO6","B6","x"
"QE37746GM.raw","BIO7","B7","x"
"QE37793GM.raw","BIO8","B8","x"
"QE37620GM.raw","BIO9","B9","x"
