"protein dataset","ptm dataset","condition"
"QE37659GM","QX21619GM","A1"
"QE37865GM","QX21842GM","A10"
"QE37695GM","QX21652GM","A11"
"QE37617GM","QX21616GM","A12"
"QE37623GM","QX21711GM","A13"
"QE37632GM","QX21764GM","A14"
"QE37689GM","QX21794GM","A15"
"QE37796GM","QX21708GM","A16"
"QE37922GM","QX21586GM","A17"
"QE37644GM","QX21720GM","A19"
"QE37650GM","QX21502GM","A2"
"QE37772GM","QX21607GM","A20"
"QE37817GM","QX21493GM","A21"
"QE37716GM","QX21523GM","A22"
"QE37775GM","QX21749GM","A23"
"QE37647GM","QX21812GM","A25"
"QE37719GM","QX21743GM","A26"
"QE37874GM","QX21520GM","A27"
"QE37862GM","QX21773GM","A28"
"QE37728GM","QX21640GM","A29"
"QE37802GM","QX21839GM","A3"
"QE37955GM","QX21806GM","A31"
"QE37707GM","QX21687GM","A32"
"QE37740GM","QX21487GM","A33"
"QE37731GM","QX21782GM","A34"
"QE37853GM","QX21824GM","A36"
"QE37755GM","QX21684GM","A37"
"QE37970GM","QX21592GM","A38"
"QE37722GM","QX21791GM","A39"
"QE37964GM","QX21583GM","A4"
"QE37641GM","QX21637GM","A40"
"QE37683GM","QX21508GM","A41"
"QE37737GM","QX21851GM","A42"
"QE37886GM","QX21568GM","A44"
"QE37704GM","QX21526GM","A46"
"QE37805GM","QX21562GM","A47"
"QE37814GM","QX21595GM","A48"
"QE37766GM","QX21678GM","A49"
"QE37868GM","QX21643GM","A5"
"QE37701GM","QX21610GM","A50"
"QE37895GM","QX21758GM","A51"
"QE37778GM","QX21514GM","A52"
"QE37991GM","QX21655GM","A54"
"QE37752GM","QX21696GM","A55"
"QE37829GM","QX21800GM","A6"
"QE37790GM","QX21571GM","A7"
"QE37916GM","QX21517GM","A9"
"QE37680GM","QX21767GM","B101"
"QE37743GM","QX21770GM","B103"
"QE37761GM","QX21803GM","B105"
"QE37725GM","QX21723GM","B114"
"QE37925GM","QX21830GM","B123"
"QE37674GM","QX21818GM","B148"
"QE37988GM","QX21699GM","B149"
"QE37943GM","QX21675GM","B156"
"QE37940GM","QX21797GM","B159"
"QE37931GM","QX21690GM","B202"
"QE37823GM","QX21746GM","B36"
"QE37910GM","QX21788GM","B48"
"QE37949GM","QX21833GM","B96"
"QE37665GM","QX21740GM","B1"
"QE37844GM","QX21714GM","B10"
"QE37668GM","QX21472GM","B11"
"QE37937GM","QX21484GM","B12"
"QE37847GM","QX21693GM","B13"
"QE37787GM","QX21511GM","B14"
"QE37961GM","QX21565GM","B17"
"QE37946GM","QX21604GM","B19"
"QE37934GM","QX21559GM","B2"
"QE37635GM","QX21672GM","B20"
"QE37973GM","QX21717GM","B22"
"QE37982GM","QX21490GM","B23"
"QE37985GM","QX21628GM","B24"
"QE37850GM","QX21601GM","B26"
"QE37671GM","QX21469GM","B27"
"QE37841GM","QX21613GM","B28"
"QE37838GM","QX21776GM","B29"
"QE37799GM","QX21634GM","B3"
"QE37871GM","QX21589GM","B30"
"QE37859GM","QX21580GM","B31"
"QE37967GM","QX21649GM","B33"
"QE37653GM","QX21466GM","B35"
"QE37889GM","QX21577GM","B36"
"QE37907GM","QX21755GM","B37"
"QE37826GM","QX21556GM","B38"
"QE37892GM","QX21752GM","B39"
"QE37835GM","QX21845GM","B5"
"QE37746GM","QX21631GM","B7"
"QE37793GM","QX21625GM","B8"
"QE37620GM","QX21460GM","B9"
